dataset,model,model_display,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all
reference_heldout_test,pca_svm,PCA-SVM,0.0,133.0,133.0,0.0,1.0,0.6992481203007519,0.6227365003869791,0.6992481203007519,0.3007518796992481,0.3007518796992481
reference_heldout_test,pca_svm,PCA-SVM,0.4999999999999999,133.0,101.0,32.0,0.7593984962406015,0.8118811881188119,0.7491658149746384,0.6165413533834587,0.18811881188118806,0.14285714285714282
reference_heldout_test,pca_svm,PCA-SVM,0.7,133.0,77.0,56.0,0.5789473684210527,0.8571428571428571,0.8248365271092545,0.49624060150375937,0.1428571428571429,0.08270676691729327
reference_heldout_test,pca_svm,PCA-SVM,0.7999999999999999,133.0,56.0,77.0,0.4210526315789473,0.9285714285714286,0.8787878787878788,0.3909774436090225,0.0714285714285714,0.030075187969924793
reference_heldout_test,pca_svm,PCA-SVM,0.8999999999999999,133.0,31.0,102.0,0.2330827067669172,0.935483870967742,0.8666666666666666,0.21804511278195482,0.06451612903225801,0.015037593984962386
reference_heldout_test,pls_da,PLS-DA,0.0,133.0,133.0,0.0,1.0,0.5488721804511278,0.3909088637233873,0.5488721804511278,0.45112781954887216,0.45112781954887216
reference_heldout_test,pls_da,PLS-DA,0.4999999999999999,133.0,12.0,121.0,0.0902255639097744,1.0,1.0,0.0902255639097744,0.0,0.0
reference_heldout_test,pls_da,PLS-DA,0.7,133.0,3.0,130.0,0.0225563909774436,1.0,1.0,0.0225563909774436,0.0,0.0
reference_heldout_test,pls_da,PLS-DA,0.7999999999999999,133.0,0.0,133.0,0.0,,,,,
reference_heldout_test,pls_da,PLS-DA,0.8999999999999999,133.0,0.0,133.0,0.0,,,,,
reference_heldout_test,cnn,1D-CNN,0.0,133.0,133.0,0.0,1.0,0.6616541353383458,0.5824353097882509,0.6616541353383458,0.33834586466165417,0.33834586466165417
reference_heldout_test,cnn,1D-CNN,0.4999999999999999,133.0,120.0,13.0,0.9022556390977444,0.7166666666666667,0.6398909145938009,0.6466165413533835,0.2833333333333333,0.2556390977443609
reference_heldout_test,cnn,1D-CNN,0.7,133.0,106.0,27.0,0.7969924812030075,0.7641509433962265,0.6863542765169574,0.6090225563909775,0.23584905660377353,0.18796992481203
reference_heldout_test,cnn,1D-CNN,0.7999999999999999,133.0,98.0,35.0,0.7368421052631579,0.8061224489795918,0.7058956860091152,0.5939849624060151,0.19387755102040816,0.14285714285714285
reference_heldout_test,cnn,1D-CNN,0.8999999999999999,133.0,86.0,47.0,0.6466165413533834,0.8255813953488372,0.7148300152873325,0.5338345864661654,0.17441860465116277,0.11278195488721802
reference_heldout_test,standard_transformer,Standard Transformer,0.0,133.0,133.0,0.0,1.0,0.7669172932330827,0.633796479095192,0.7669172932330827,0.23308270676691734,0.23308270676691734
reference_heldout_test,standard_transformer,Standard Transformer,0.4999999999999999,133.0,132.0,1.0,0.9924812030075189,0.7727272727272727,0.6371531341546335,0.7669172932330828,0.2272727272727273,0.22556390977443613
reference_heldout_test,standard_transformer,Standard Transformer,0.7,133.0,126.0,7.0,0.9473684210526316,0.8015873015873016,0.6685200306939437,0.7593984962406016,0.19841269841269837,0.18796992481203004
reference_heldout_test,standard_transformer,Standard Transformer,0.7999999999999999,133.0,121.0,12.0,0.9097744360902256,0.8181818181818182,0.6794415799380567,0.7443609022556391,0.18181818181818177,0.16541353383458643
reference_heldout_test,standard_transformer,Standard Transformer,0.8999999999999999,133.0,117.0,16.0,0.8796992481203008,0.8290598290598291,0.6887245394594453,0.7293233082706767,0.1709401709401709,0.15037593984962402
reference_heldout_test,mst,MST,0.0,133.0,133.0,0.0,1.0,0.7669172932330827,0.6579749007666627,0.7669172932330827,0.23308270676691734,0.23308270676691734
reference_heldout_test,mst,MST,0.4999999999999999,133.0,132.0,1.0,0.9924812030075189,0.7727272727272727,0.6619923408164914,0.7669172932330828,0.2272727272727273,0.22556390977443613
reference_heldout_test,mst,MST,0.7,133.0,128.0,5.0,0.962406015037594,0.78125,0.669238695554485,0.7518796992481204,0.21875,0.2105263157894737
reference_heldout_test,mst,MST,0.7999999999999999,133.0,128.0,5.0,0.962406015037594,0.78125,0.669238695554485,0.7518796992481204,0.21875,0.2105263157894737
reference_heldout_test,mst,MST,0.8999999999999999,133.0,125.0,8.0,0.9398496240601504,0.8,0.6780864019021914,0.7518796992481204,0.19999999999999996,0.18796992481203004
